Anio;Mes;Dia;Caterpillar;Ferrari;Volkswagen;Boeing;RollsRoyce
2017;3;5; 95.65 ; 65.3 ; 1.528.803 ; 180.64 ; 9.19 
2017;3;6; 94.1 ; 65.92 ; 152.3 ; 182.4 ; 9.07 
2017;3;7; 92.45 ; 65.36 ; 153.55 ; 181.43 ; 9.17 
2017;3;8; 91.89 ; 65.54 ; 151.16 ; 181.9 ; 9.22 
2017;3;9; 93.33 ; 66.13 ; 153.03 ; 177.16 ; 9.33 
2017;3;10; 91.22 ; 66.26 ; 153.85 ; 178.54 ; 9.31 
2017;3;11; 92.37 ; 66.86 ; 1.511.789 ; 179 ; 9.311 
2017;3;12; 93.97 ; 69.16 ; 154.87 ; 179.82 ; 9.6 
2017;3;13; 92.99 ; 69.28 ; 152.73 ; 178.31 ; 9.54 
2017;3;14; 93.13 ; 68.56 ; 151.235 ; 180.1 ; 9.57 
2017;3;15; 95.38 ; 68.67 ; 151.19 ; 179.99 ; 9.63 
2017;3;16; 92 ; 68.02 ; 147.84 ; 175.96 ; 94.175 
2017;3;17; 92.45 ; 69.56 ; 150 ; 177.34 ; 9.3 
2017;3;18; 92.24 ; 72.17 ; 150.25 ; 176.85 ; 9.357 
2017;3;19; 90.9 ; 73.4 ; 148.98 ; 174.37 ; 9.37 
2017;3;20; 91.56 ; 74.5 ; 150.93 ; 176.29 ; 9.24 
2017;3;21; 92.76 ; 74.68 ; 152.47 ; 177.4 ; 9.39 
2017;3;22; 92.98 ; 74.07 ; 150.5 ; 177.25 ; 9.62 
2017;3;23; 92.63 ; 74.11 ; 149.36 ; 178.02 ; 9.62 
2017;4;1; 92.43 ; 74.6 ; 149.95 ; 177.08 ; 9.38 
2017;4;2; 93.89 ; 73.72 ; 147.609 ; 176.88 ; 9.47 
2017;4;3; 94.92 ; 73.51 ; 148.44 ; 179 ; 9.705 
2017;4;4; 94.42 ; 72.86 ; 145 ; 177.56 ; 9.74 
2017;4;5; 95.87 ; 72.11 ; 145.57 ; 178.39 ; 9.75 
2017;4;6; 96.31 ; 71.89 ; 147.08 ; 179 ; 9.825 
2017;4;7; 97.3 ; 72.08 ; 145.31 ; 177.5 ; 10.14 
2017;4;8; 96.69 ; 71.83 ; 147.24 ; 178.25 ; 10.28 
2017;4;9; 94.6 ; 71.47 ; 143 ; 175.74 ; 10.32 
2017;4;10; 93.69 ; 70.87 ; 147.76 ; 175.84 ; 10.5 
2017;4;11; 93.5 ; 70.54 ; 147.53 ; 178.59 ; 10.31 
2017;4;12; 94.86 ; 71.53 ; 152.95 ; 178.47 ; 10.31 
2017;4;13; 93.28 ; 72.33 ; 1.532.315 ; 178.74 ; 10.2 
2017;4;14; 95.19 ; 71.32 ; 155 ; 179.42 ; 10.219 
2017;4;15; 95.84 ; 72.89 ; 158.5 ; 181.75 ; 10.34 
2017;4;16; 102.88 ; 73.63 ; 160 ; 182.53 ; 10.3 
2017;4;17; 103.8 ; 74.88 ; 160.875 ; 182.31 ; 10.43 
2017;4;18; 104.05 ; 75.67 ; 161.2 ; 182.59 ; 10.385 
2017;4;19; 102.83 ; 75.5 ; 162.54 ; 183.42 ; 10.64 
2017;5;1; 102.65 ; 75.65 ; 162.725 ; 184.23 ; 10.56 
2017;5;2; 102.27 ; 75.82 ; 161.73 ; 182.54 ; 10.53 
2017;5;3; 101.04 ; 75.36 ; 160.22 ; 183.45 ; 105.301 
2017;5;4; 101.44 ; 78.63 ; 159.1 ; 183.33 ; 10.35 
2017;5;5; 99.5 ; 81.68 ; 160.25 ; 183.16 ; 10.75 
2017;5;6; 99.48 ; 82.13 ; 160.22 ; 185.38 ; 10.96 
